potential,current
 4.370E-0001,-2.55252E-0005
 4.380E-0001,-2.55191E-0005
 4.390E-0001,-2.55252E-0005
 4.400E-0001,-2.55252E-0005
 4.410E-0001,-2.55039E-0005
 4.420E-0001,-2.54764E-0005
 4.430E-0001,-2.54459E-0005
 4.440E-0001,-2.54032E-0005
 4.450E-0001,-2.53543E-0005
 4.460E-0001,-2.53147E-0005
 4.470E-0001,-2.52628E-0005
 4.480E-0001,-2.52079E-0005
 4.490E-0001,-2.51407E-0005
 4.500E-0001,-2.50736E-0005
 4.510E-0001,-2.49942E-0005
 4.520E-0001,-2.49149E-0005
 4.530E-0001,-2.48447E-0005
 4.540E-0001,-2.47501E-0005
 4.550E-0001,-2.46646E-0005
 4.560E-0001,-2.45761E-0005
 4.570E-0001,-2.44632E-0005
 4.580E-0001,-2.43656E-0005
 4.590E-0001,-2.42862E-0005
 4.600E-0001,-2.41916E-0005
 4.610E-0001,-2.40665E-0005
 4.620E-0001,-2.39627E-0005
 4.630E-0001,-2.38345E-0005
 4.640E-0001,-2.37186E-0005
 4.650E-0001,-2.35965E-0005
 4.660E-0001,-2.34988E-0005
 4.670E-0001,-2.33798E-0005
 4.680E-0001,-2.32516E-0005
 4.690E-0001,-2.31204E-0005
 4.700E-0001,-2.29861E-0005
 4.710E-0001,-2.28763E-0005
 4.720E-0001,-2.27573E-0005
 4.730E-0001,-2.26321E-0005
 4.740E-0001,-2.24979E-0005
 4.750E-0001,-2.23880E-0005
 4.760E-0001,-2.22354E-0005
 4.770E-0001,-2.21347E-0005
 4.780E-0001,-2.20096E-0005
 4.790E-0001,-2.19058E-0005
 4.800E-0001,-2.17746E-0005
 4.810E-0001,-2.16372E-0005
 4.820E-0001,-2.14847E-0005
 4.830E-0001,-2.13687E-0005
 4.840E-0001,-2.12771E-0005
 4.850E-0001,-2.11184E-0005
 4.860E-0001,-2.10238E-0005
 4.870E-0001,-2.09170E-0005
 4.880E-0001,-2.08010E-0005
 4.890E-0001,-2.06912E-0005
 4.900E-0001,-2.05569E-0005
 4.910E-0001,-2.04592E-0005
 4.920E-0001,-2.03494E-0005
 4.930E-0001,-2.02456E-0005
 4.940E-0001,-2.01419E-0005
 4.950E-0001,-2.00381E-0005
 4.960E-0001,-1.99404E-0005
 4.970E-0001,-1.98306E-0005
 4.980E-0001,-1.97268E-0005
 4.990E-0001,-1.96322E-0005
 5.000E-0001,-1.95071E-0005
 5.010E-0001,-1.94033E-0005
 5.020E-0001,-1.92935E-0005
 5.030E-0001,-1.92019E-0005
 5.040E-0001,-1.91042E-0005
 5.050E-0001,-1.90310E-0005
 5.060E-0001,-1.89394E-0005
 5.070E-0001,-1.88296E-0005
 5.080E-0001,-1.87441E-0005
 5.090E-0001,-1.86465E-0005
 5.100E-0001,-1.85610E-0005
 5.110E-0001,-1.85000E-0005
 5.120E-0001,-1.84023E-0005
 5.130E-0001,-1.83291E-0005
 5.140E-0001,-1.82375E-0005
 5.150E-0001,-1.81521E-0005
 5.160E-0001,-1.80849E-0005
